CRIM,AGE,RAD,PTRATIO,LSTAT,MEDV
0.00632,65.2,1,15.3,4.98,24
0.02731,78.9,2,17.8,9.14,21.6
0.02729,61.1,2,17.8,4.03,34.7
0.03237,45.8,3,18.7,2.94,33.4
0.06905,54.2,3,18.7,6.8,36.2
0.02985,58.7,3,18.7,5.21,28.7
0.08829,66.6,5,15.2,12.43,22.9
0.14455,96.1,5,15.2,19.15,27.1
0.21124,100,5,15.2,29.93,16.5
0.17004,85.9,5,15.2,17.1,18.9
0.22489,94.3,5,15.2,20.45,15
0.11747,82.9,5,15.2,13.27,18.9
0.09378,39,5,15.2,15.71,21.7
0.62976,61.8,4,21,8.26,20.4
0.63796,84.5,4,21,10.26,18.2
0.62739,56.5,4,21,8.47,19.9
1.05393,29.3,4,21,6.58,23.1
0.7842,81.7,4,21,14.67,17.5
0.80271,36.6,4,21,11.69,20.2
0.7258,69.5,4,21,11.28,18.2
1.25179,98.1,4,21,21.02,13.6
0.85204,89.2,4,21,13.83,19.6
1.23247,91.7,4,21,18.72,15.2
0.98843,100,4,21,19.88,14.5
0.75026,94.1,4,21,16.3,15.6
0.84054,85.7,4,21,16.51,13.9
0.67191,90.3,4,21,14.81,16.6
0.95577,88.8,4,21,17.28,14.8
0.77299,94.4,4,21,12.8,18.4
1.00245,87.3,4,21,11.98,21
1.13081,94.1,4,21,22.6,12.7
1.35472,100,4,21,13.04,14.5
1.38799,82,4,21,27.71,13.2
1.15172,95,4,21,18.35,13.1
1.61282,96.9,4,21,20.34,13.5
0.06417,68.2,5,19.2,12.3,18.9
0.09744,61.4,5,19.2,11.41,20
0.08014,41.5,5,19.2,8.77,21
0.17505,30.2,5,19.2,10.13,24.7
0.02763,21.8,3,18.3,4.32,30.8
0.03359,15.8,3,18.3,1.98,34.9
0.12744,2.9,3,17.9,4.84,26.6
0.1415,6.6,3,17.9,5.81,25.3
0.15936,6.5,3,17.9,7.44,24.7
0.12269,40,3,17.9,9.55,21.2
0.17142,33.8,3,17.9,10.21,19.3
0.18836,33.3,3,17.9,14.15,20
0.22927,85.5,3,17.9,18.8,16.6
0.25387,95.3,3,17.9,30.81,14.4
0.21977,62,3,17.9,16.2,19.4
0.08873,45.7,4,16.8,13.45,19.7
0.04337,63,4,16.8,9.43,20.5
0.0536,21.1,4,16.8,5.28,25
0.28927,21.4,4,16.8,8.43,23.4
0.0136,47.6,3,21.1,14.8,18.9
0.01311,21.9,5,17.9,4.81,35.4
0.02055,35.7,2,17.3,5.77,24.7
0.01432,40.5,5,15.1,3.95,31.6
0.15445,29.2,8,19.7,6.86,23.3
0.10328,47.2,8,19.7,9.22,19.6
0.14932,66.2,8,19.7,13.15,18.7
0.17171,93.4,8,19.7,14.44,16
0.11027,67.8,8,19.7,6.73,22.2
0.1265,43.4,8,19.7,9.5,25
0.01951,59.5,3,18.6,8.05,33
0.03584,17.8,4,16.1,4.67,23.5
0.04379,31.1,4,16.1,10.24,19.4
0.05789,21.4,4,18.9,8.1,22
0.13554,36.8,4,18.9,13.09,17.4
0.12816,33,4,18.9,8.79,20.9
0.08826,6.6,4,19.2,6.72,24.2
0.15876,17.5,4,19.2,9.88,21.7
0.09164,7.8,4,19.2,5.52,22.8
0.19539,6.2,4,19.2,5.12,23.4
0.07896,44,5,18.7,6.78,24.1
0.09512,45,5,18.7,8.94,21.4
0.10153,74.5,5,18.7,11.97,20
0.08707,45.8,5,18.7,10.27,20.8
0.05646,53.7,5,18.7,12.34,21.2
0.08387,36.6,5,18.7,8.4,20.3
0.04113,33.5,4,19,5.29,28
0.04462,70.4,4,19,7.22,23.9
0.03659,32.2,4,19,6.72,24.8
0.03551,46.7,4,19,7.51,22.9
0.05059,48,3,18.5,9.62,23.9
0.05735,56.1,3,18.5,6.53,26.6
0.05188,45.1,3,18.5,12.86,22.5
0.07151,56.8,3,18.5,9.23,22.2
0.0566,86.3,2,17.8,5.5,23.6
0.05302,63.1,2,17.8,5.7,28.7
0.04684,66.1,2,17.8,8.81,22.6
0.03932,73.9,2,17.8,8.2,22
0.04203,53.6,4,18.2,8.16,22.9
0.02875,28.9,4,18.2,6.21,25
0.04294,77.3,4,18.2,10.59,20.6
0.12204,57.8,2,18,6.65,28.4
0.11504,69.6,2,18,11.34,21.4
0.12083,76,2,18,4.21,38.7
0.08187,36.9,2,18,3.57,43.8
0.0686,62.5,2,18,6.19,33.2
0.14866,79.9,5,20.9,9.42,27.5
0.11432,71.3,5,20.9,7.67,26.5
0.22876,85.4,5,20.9,10.63,18.6
0.21161,62.5,5,20.9,13.44,19.3
0.1396,90,5,20.9,12.33,20.1
0.13262,96.7,5,20.9,16.47,19.5
0.1712,91.9,5,20.9,18.66,19.5
0.13117,85.2,5,20.9,14.09,20.4
0.12802,97.1,5,20.9,12.27,19.8
0.26363,91.2,5,20.9,15.55,19.4
0.10793,54.4,5,20.9,13,21.7
0.10084,81.6,6,17.8,10.16,22.8
0.12329,92.9,6,17.8,16.21,18.8
0.22212,95.4,6,17.8,17.09,18.7
0.14231,84.2,6,17.8,10.45,18.5
0.22876,88.2,6,17.8,15.76,18.3
0.13158,72.5,6,17.8,15.55,21.2
0.15098,82.6,6,17.8,10.3,19.2
0.13058,73.1,6,17.8,15.37,20.4
0.14476,65.2,6,17.8,13.61,19.3
0.06899,69.7,2,19.1,14.37,22
0.07165,84.1,2,19.1,14.27,20.3
0.09299,92.9,2,19.1,17.93,20.5
0.15038,97,2,19.1,25.41,17.3
0.09849,95.8,2,19.1,17.58,18.8
0.16902,88.4,2,19.1,14.81,21.4
0.38735,84.1,2,19.1,27.26,15.7
0.25915,96,4,21.2,17.19,16.2
0.32543,98.8,4,21.2,15.39,18
0.88125,94.7,4,21.2,18.34,14.3
0.34006,98.9,4,21.2,12.6,19.2
1.19294,97.7,4,21.2,12.26,19.6
0.59005,97.9,4,21.2,11.12,23
0.32982,95.4,4,21.2,15.03,18.4
0.97617,98.4,4,21.2,17.31,15.6
0.55778,98.2,4,21.2,16.96,18.1
0.32264,93.5,4,21.2,16.9,17.4
0.35233,98.4,4,21.2,14.59,17.1
0.2498,94.7,4,21.2,21.32,13.3
0.54452,97.9,4,21.2,18.46,17.8
0.2909,93.6,4,21.2,24.16,14
1.62864,100,4,21.2,34.41,14.4
3.32105,100,5,14.7,26.82,13.4
4.0974,100,5,14.7,26.42,15.6
2.77974,97.8,5,14.7,29.29,11.8
2.37934,100,5,14.7,27.8,13.8
2.15505,100,5,14.7,16.65,15.6
2.36862,95.7,5,14.7,29.53,14.6
2.33099,93.8,5,14.7,28.32,17.8
2.73397,94.9,5,14.7,21.45,15.4
1.6566,74,5,14.7,14.1,21.5
1.49632,100,5,14.7,13.28,19.6
1.12658,88,5,14.7,12.12,15.3
2.14918,98.5,5,14.7,15.79,19.4
1.41385,96,5,14.7,15.12,17
3.53501,98,5,14.7,15.02,15.6
2.44668,94,5,14.7,16.14,13.1
1.22358,97.4,5,14.7,4.59,41.3
1.34284,100,5,14.7,6.43,24.3
1.42502,100,5,14.7,7.39,23.3
1.27346,92.6,5,14.7,5.5,27
1.46336,90.8,5,14.7,1.73,50
1.83377,98.2,5,14.7,1.92,50
1.51902,87,5,14.7,3.32,50
2.24236,91.8,5,14.7,11.64,22.7
2.924,93,5,14.7,9.81,25
2.01019,96.2,5,14.7,3.7,50
1.80028,79.2,5,14.7,12.14,23.8
2.3004,96.1,5,14.7,11.1,23.8
2.44953,95.2,5,14.7,11.32,22.3
1.20742,94.6,5,14.7,14.43,17.4
2.3139,97.3,5,14.7,12.03,19.1
0.13914,88.5,5,16.6,14.69,23.1
0.09178,87,5,16.6,9.04,23.6
0.08447,68.7,5,16.6,9.64,22.6
0.06664,33.1,5,16.6,5.33,29.4
0.07022,47.2,5,16.6,10.11,23.2
0.05425,73.4,5,16.6,6.29,24.6
0.06642,74.4,5,16.6,6.92,29.9
0.0578,58.4,3,17.8,5.04,37.2
0.06588,83.3,3,17.8,7.56,39.8
0.06888,62.2,3,17.8,9.45,36.2
0.09103,92.2,3,17.8,4.82,37.9
0.0873,95.6,3,17.8,5.68,32.5
0.08308,89.8,3,17.8,13.98,26.4
0.06047,68.8,3,17.8,13.15,29.6
0.05602,53.6,3,17.8,4.45,50
0.07875,41.1,5,15.2,6.68,32
0.12579,29.1,5,15.2,4.56,29.8
0.0837,38.9,5,15.2,5.39,34.9
0.09068,21.5,5,15.2,5.1,37
0.05425,30.8,5,15.2,4.69,30.5
0.06664,26.3,5,15.2,2.87,36.4
0.02187,53.6,1,15.6,5.03,31.1
0.01439,18.8,1,15.6,4.38,29.1
0.01381,32,4,14.4,2.97,50
0.13642,34.1,2,12.6,4.08,33.3
0.04666,36.6,2,12.6,8.61,30.3
0.03768,38.3,2,12.6,6.62,34.6
0.0315,15.3,3,17,4.56,34.9
0.01778,13.9,3,17,4.45,32.9
0.03445,38.4,2,14.7,7.43,24.1
0.02177,15.7,2,14.7,3.11,42.3
0.0351,33.2,4,14.7,3.81,48.5
0.02009,31.9,4,14.7,2.88,50
0.13642,22.3,4,18.6,10.87,22.6
0.22969,52.5,4,18.6,10.97,24.4
0.25199,72.7,4,18.6,4.56,22.5
0.13587,59.1,4,18.6,14.66,24.4
0.43571,100,4,18.6,23.09,20
0.17446,92.1,4,18.6,17.27,21.7
0.37578,88.6,4,18.6,23.98,19.3
0.21719,53.8,4,18.6,16.03,22.4
0.14052,32.3,4,18.6,9.38,28.1
0.28955,9.8,4,18.6,29.55,23.7
0.19802,15.3,4,18.6,9.47,25
0.0456,56,5,16.4,13.51,23.3
0.07013,85.1,5,16.4,9.69,28.7
0.11069,93.8,5,16.4,17.92,21.5
0.11425,92.4,5,16.4,10.5,23
0.35809,88.5,8,17.4,9.71,26.7
0.40771,91.3,8,17.4,21.46,21.7
0.62356,77.7,8,17.4,9.93,27.5
0.6147,80.8,8,17.4,7.6,30.1
0.31533,78.3,8,17.4,4.14,44.8
0.52693,83,8,17.4,4.63,50
0.38214,86.5,8,17.4,7.6,37.6
0.41238,79.9,8,17.4,6.36,31.6
0.29819,17,8,17.4,7.6,46.7
0.31533,21.4,8,17.4,3.76,31.5
0.537,68.1,8,17.4,11.65,24.3
0.46296,76.9,8,17.4,5.25,31.7
0.57529,73.3,8,17.4,2.47,41.7
0.33147,83,8,17.4,3.95,48.3
0.44791,66.5,8,17.4,8.05,29
0.33045,61.5,8,17.4,10.88,24
0.46296,76.5,8,17.4,9.54,25.1
0.51183,71.6,8,17.4,4.73,31.5
0.08244,18.5,6,16.6,6.36,23.7
0.09252,42.2,6,16.6,7.37,23.3
0.11329,54.3,6,16.6,11.38,22
0.46566,65.1,6,16.6,12.4,20.1
0.1029,52.9,6,16.6,11.22,22.2
0.12757,7.8,6,16.6,5.19,23.7
0.20608,76.5,7,19.1,12.5,17.6
0.19133,70.2,7,19.1,18.46,18.5
0.33983,34.9,7,19.1,9.16,24.3
0.19657,79.2,7,19.1,10.15,20.5
0.16439,49.1,7,19.1,9.52,24.5
0.19073,17.5,7,19.1,6.56,26.2
0.1403,13,7,19.1,5.9,24.4
0.21409,8.9,7,19.1,3.59,24.8
0.08221,6.8,7,19.1,3.53,29.6
0.36894,8.4,7,19.1,3.54,42.8
0.04819,32,1,16.4,6.57,21.9
0.03548,19.1,1,16.4,9.25,20.9
0.01538,34.2,3,15.9,3.11,44
0.61154,86.9,5,13,5.12,50
0.66351,100,5,13,7.79,36
0.65665,100,5,13,6.9,30.1
0.54011,81.8,5,13,9.59,33.8
0.53412,89.4,5,13,7.26,43.1
0.21409,91.5,5,13,5.91,48.8
0.82526,94.5,5,13,11.25,31
0.55007,91.6,5,13,8.1,36.5
0.76162,62.8,5,13,10.45,22.8
0.7857,84.6,5,13,14.79,30.7
0.57834,67,5,13,7.44,50
0.5405,52.6,5,13,3.16,43.5
0.09065,61.5,3,18.6,13.65,20.7
0.29916,42.1,3,18.6,13,21.1
0.16211,16.3,3,18.6,7.26,25.2
0.1146,58.7,3,18.6,7.73,24.4
0.22188,51.8,3,18.6,6.58,35.2
0.05644,32.9,4,17.6,3.53,32.4
0.09604,42.8,4,17.6,2.98,32
0.10469,49,4,17.6,6.05,33.2
0.06127,27.6,4,17.6,9.25,33.1
0.07978,32.1,4,17.6,7.19,29.1
0.21038,32.2,5,14.9,4.85,35.1
0.03578,64.5,5,14.9,3.76,45.4
0.03705,42.1,5,14.9,4.59,35.4
0.06129,49.7,5,14.9,3.01,46
0.01501,24.8,1,13.6,3.16,50
0.00906,20.8,1,15.3,7.85,32.2
0.01096,31.9,1,15.3,8.23,22
0.01965,42.1,1,18.2,12.93,20.1
0.03871,31.3,6,16.6,7.14,23.2
0.21038,45.6,6,16.6,7.6,22.3
0.04297,22.9,6,16.6,9.51,24.8
0.03502,27.9,4,19.2,3.33,28.5
0.07886,27.7,4,19.2,3.56,37.3
0.03615,23.4,4,19.2,4.7,27.9
0.08265,18.4,4,16,8.58,23.9
0.08199,42.3,4,16,10.4,21.7
0.12932,31.1,4,16,6.27,28.6
0.05372,51,4,16,7.39,27.1
0.14103,58,4,16,15.84,20.3
0.06466,20.1,5,14.8,4.97,22.5
0.05561,10,5,14.8,4.74,29
0.04417,47.4,5,14.8,6.07,24.8
0.03537,40.4,7,16.1,9.5,22
0.03615,18.4,7,16.1,8.67,26.4
0.1,17.7,7,16.1,4.86,33.1
0.05515,41.1,7,18.4,6.93,36.1
0.05479,58.1,7,18.4,8.93,28.4
0.07503,71.9,7,18.4,6.47,33.4
0.04932,70.3,7,18.4,7.53,28.2
0.49298,82.5,4,18.4,4.54,22.8
0.3494,76.7,4,18.4,9.97,20.3
2.63548,37.8,4,18.4,12.64,16.1
0.79041,52.8,4,18.4,5.98,22.1
0.26169,90.4,4,18.4,11.72,19.4
0.26938,82.8,4,18.4,7.9,21.6
0.3692,87.3,4,18.4,9.28,23.8
0.25356,77.7,4,18.4,11.5,16.2
0.31827,58.1,4,18.4,18.33,17.8
0.24522,71.7,4,18.4,15.94,19.8
0.40202,67.2,4,18.4,10.36,23.1
0.47547,58.8,4,18.4,12.73,21
0.1676,52.3,5,19.6,7.2,23.8
0.18159,54.3,5,19.6,6.87,23.1
0.35114,49.9,5,19.6,7.7,20.4
0.28392,74.3,5,19.6,11.74,18.5
0.34109,40.1,5,19.6,6.12,25
0.19186,14.7,5,19.6,5.08,24.6
0.30347,28.9,5,19.6,6.15,23
0.24103,43.7,5,19.6,12.79,22.2
0.06617,25.8,4,16.9,9.97,19.3
0.06724,17.2,4,16.9,7.34,22.6
0.04544,32.2,4,16.9,9.09,19.8
0.05023,28.4,1,16.9,12.43,17.1
0.03466,23.3,1,16.9,7.83,19.4
0.05083,38.1,5,20.2,5.68,22.2
0.03738,38.5,5,20.2,6.75,20.7
0.03961,34.5,5,20.2,8.01,21.1
0.03427,46.3,5,20.2,9.8,19.5
0.03041,59.6,5,20.2,10.56,18.5
0.03306,37.3,5,20.2,8.51,20.6
0.05497,45.4,5,20.2,9.74,19
0.06151,58.5,5,20.2,9.29,18.7
0.01301,49.3,1,15.5,5.49,32.7
0.02498,59.7,1,15.9,8.65,16.5
0.02543,56.4,5,17.6,7.18,23.9
0.03049,28.1,5,17.6,4.61,31.2
0.03113,48.5,3,18.8,10.53,17.5
0.06162,52.3,3,18.8,12.67,17.2
0.0187,27.7,4,17.9,6.36,23.1
0.01501,29.7,4,17,5.99,24.5
0.02899,34.5,1,19.7,4.61,26.6
0.06211,44.4,1,19.7,13.27,22.9
0.0795,35.9,4,18.3,5.49,24.1
0.07244,18.5,4,18.3,7.79,18.6
0.01709,36.1,5,17,4.5,30.1
0.04301,21.9,4,22,8.05,18.2
0.10659,27.7,4,22,5.57,20.6
8.98296,97.4,24,20.2,17.6,17.8
3.8497,91,24,20.2,13.27,21.7
5.20177,83.4,24,20.2,11.48,22.7
4.26131,81.3,24,20.2,12.67,22.6
4.54192,88,24,20.2,7.79,25
3.83684,91.1,24,20.2,14.19,19.9
3.67822,96.2,24,20.2,10.19,20.8
4.22239,89,24,20.2,14.64,16.8
3.47428,82.9,24,20.2,5.29,21.9
4.55587,87.9,24,20.2,7.12,27.5
3.69695,91.4,24,20.2,14,21.9
13.5222,100,24,20.2,13.33,23.1
4.89822,83.4,24,20.2,3.26,50
4.54192,96.8,24,20.2,3.73,50
6.53876,97.5,24,20.2,2.96,50
9.2323,100,24,20.2,9.53,50
8.26725,89.6,24,20.2,8.88,50
11.1081,100,24,20.2,34.77,13.8
18.4982,100,24,20.2,37.97,13.8
19.6091,97.9,24,20.2,13.44,15
15.288,93.3,24,20.2,7.12,13.9
9.82349,98.8,24,20.2,21.24,13.3
23.6482,96.2,24,20.2,23.69,13.1
17.8667,100,24,20.2,21.78,10.2
88.9762,91.9,24,20.2,17.21,10.4
15.8744,99.1,24,20.2,21.08,10.9
9.18702,100,24,20.2,23.6,11.3
7.99248,100,24,20.2,28.28,12.3
20.0849,91.2,24,20.2,30.63,8.8
16.8118,98.1,24,20.2,30.81,7.2
24.3938,100,24,20.2,28.28,10.5
22.5971,89.5,24,20.2,31.99,7.4
14.3337,100,24,20.2,30.62,10.2
8.15174,98.9,24,20.2,20.85,11.5
6.96215,97,24,20.2,17.11,15.1
5.29305,82.5,24,20.2,18.76,23.2
11.5779,97,24,20.2,25.68,9.7
7.99248,92.6,24,20.2,15.17,13.8
88.9762,94.7,24,20.2,16.35,12.7
8.71675,98.8,24,20.2,17.12,13.1
5.87205,96,24,20.2,19.37,12.5
7.67202,98.9,24,20.2,19.92,8.5
38.3518,100,24,20.2,30.59,5
9.91655,77.8,24,20.2,29.97,6.3
25.0461,100,24,20.2,26.77,5.6
14.2362,100,24,20.2,20.32,7.2
9.59571,100,24,20.2,20.31,12.1
24.8017,96,24,20.2,19.77,8.3
41.5292,85.4,24,20.2,27.38,8.5
67.9208,100,24,20.2,22.98,5
20.7162,100,24,20.2,23.34,11.9
11.9511,100,24,20.2,26.77,27.9
7.40389,97.9,24,20.2,26.4,17.2
9.59571,100,24,20.2,19.78,27.5
51.1358,100,24,20.2,10.11,15
14.0507,100,24,20.2,21.22,17.2
18.811,100,24,20.2,34.37,17.9
28.6558,100,24,20.2,20.08,16.3
45.7461,100,24,20.2,36.98,7
18.0846,100,24,20.2,29.05,7.2
10.8342,90.8,24,20.2,25.79,7.5
25.9406,89.1,24,20.2,26.64,10.4
73.5341,100,24,20.2,20.62,8.8
11.8123,76.5,24,20.2,22.74,8.4
11.0874,100,24,20.2,15.02,16.7
7.02259,95.3,24,20.2,15.7,14.2
12.0482,87.6,24,20.2,14.1,20.8
7.05042,78.7,24,20.2,23.29,13.4
8.79212,70.6,24,20.2,17.16,11.7
15.8603,95.4,24,20.2,24.39,8.3
11.8123,59.7,24,20.2,15.69,10.2
37.6619,78.7,24,20.2,14.52,10.9
7.36711,78.1,24,20.2,21.52,11
9.33889,100,24,20.2,24.08,9.5
11.1604,86.1,24,20.2,17.64,14.5
10.0623,94.3,24,20.2,19.69,14.1
6.44405,74.8,24,20.2,12.03,16.1
5.58107,87.9,24,20.2,16.22,14.3
13.9134,95,24,20.2,15.17,11.7
11.1604,94.6,24,20.2,23.27,13.4
14.4208,93.3,24,20.2,18.05,9.6
15.1772,100,24,20.2,26.45,8.7
13.6781,87.9,24,20.2,34.02,8.4
9.39063,93.9,24,20.2,22.88,12.8
22.0511,92.4,24,20.2,19.69,10.5
9.72418,97.2,24,20.2,16.44,17.1
5.66637,100,24,20.2,16.59,18.4
9.96654,100,24,20.2,18.85,15.4
12.8023,96.6,24,20.2,23.79,10.8
10.6718,94.8,24,20.2,23.98,11.8
6.28807,96.4,24,20.2,17.79,14.9
9.92485,96.6,24,20.2,16.44,12.6
9.32909,98.7,24,20.2,18.13,14.1
7.52601,98.3,24,20.2,19.31,13
6.71772,92.6,24,20.2,17.44,13.4
5.44114,94.8,24,20.2,17.73,15.2
5.09017,91.8,24,20.2,17.27,16.1
8.24809,99.3,24,20.2,16.74,17.8
9.51363,94.1,24,20.2,18.71,14.9
4.75237,86.5,24,20.2,18.13,14.1
4.66883,87.9,24,20.2,19.01,12.7
8.20058,80.3,24,20.2,16.94,13.5
7.75223,83.7,24,20.2,16.23,14.9
6.80117,84.4,24,20.2,14.7,20
4.66883,90,24,20.2,16.42,16.4
3.69311,88.4,24,20.2,14.65,17.7
6.65492,83,24,20.2,13.99,19.5
5.82115,89.9,24,20.2,10.29,20.2
7.83932,65.4,24,20.2,13.22,21.4
4.03841,48.2,24,20.2,14.13,19.9
3.77498,84.7,24,20.2,17.15,19
4.42228,94.5,24,20.2,21.32,19.1
15.5757,71,24,20.2,18.13,19.1
13.0751,56.7,24,20.2,14.76,20.1
4.34879,84,24,20.2,16.29,19.9
4.03841,90.7,24,20.2,12.87,19.6
3.56868,75,24,20.2,14.36,23.2
4.64689,67.6,24,20.2,21.32,29.8
8.05579,95.4,24,20.2,18.14,13.8
6.39312,97.4,24,20.2,24.1,13.3
4.87141,93.6,24,20.2,18.68,16.7
15.0234,97.3,24,20.2,24.91,12
10.233,96.7,24,20.2,18.03,14.6
14.3337,88,24,20.2,13.11,21.4
5.82401,64.7,24,20.2,10.74,23
5.70818,74.9,24,20.2,7.74,23.7
5.73116,77,24,20.2,7.01,25
2.81838,40.3,24,20.2,10.42,21.8
2.37857,41.9,24,20.2,13.34,20.6
3.67367,51.9,24,20.2,10.58,21.2
5.69175,79.8,24,20.2,14.98,19.1
4.83567,53.2,24,20.2,11.45,20.6
0.15086,92.7,4,20.1,18.06,15.2
0.18337,98.3,4,20.1,23.97,7
0.20746,98,4,20.1,29.68,8.1
0.10574,98.8,4,20.1,18.07,13.6
0.11132,83.5,4,20.1,13.35,20.1
0.17331,54,6,19.2,12.01,21.8
0.27957,42.6,6,19.2,13.59,24.5
0.17899,28.8,6,19.2,17.6,23.1
0.2896,72.9,6,19.2,21.14,19.7
0.26838,70.6,6,19.2,14.1,18.3
0.23912,65.3,6,19.2,12.92,21.2
0.17783,73.5,6,19.2,15.1,17.5
0.22438,79.7,6,19.2,14.33,16.8
0.06263,69.1,1,21,29.68,22.4
0.04527,76.7,1,21,9.08,20.6
0.06076,91,1,21,5.64,23.9
0.10959,89.3,1,21,6.48,22
0.04741,54,1,21,7.88,11.9
